timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20150729_211842 50 1 3 10 100000 597296547 119 10000 0 7172 10000 119 39 2500 1 13586 12462 1124 119 30000 100 0 0 5 405.472 78.188 ../Q3/./log/doc50cop3shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed597296547.log 22808948 q3-extractinstructions.txt 20150729_212804 0.5 55b2afeb7768392c683f0529
20150729_211622 50 1 3 10 100000 50746969 18 10000 0 6788 10000 18 39 2500 1 13476 11246 2230 18 30000 100 0 0 8 599.515 95.94 ../Q3/./log/doc50cop3shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed50746969.log 32916641 q3-extractinstructions.txt 20150729_213008 0.5 55b2afeb7768392c683f0526
20150729_211637 50 1 3 10 100000 533657980 135 10000 0 6847 10000 135 39 2500 1 13472 11388 2084 135 30000 100 0 0 9 635.419 97.392 ../Q3/./log/doc50cop3shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed533657980.log 34982171 q3-extractinstructions.txt 20150729_213110 0.5 55b2afeb7768392c683f0527
20150729_212124 50 1 3 10 100000 376517787 8 10000 0 7025 10000 8 39 2500 1 13630 11882 1748 8 30000 100 0 0 6 499.946 79.544 ../Q3/./log/doc50cop3shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed376517787.log 26871236 q3-extractinstructions.txt 20150729_213241 0.5 55b2afeb7768392c683f052d
20150729_212038 50 1 3 10 100000 666549275 12 10000 0 6666 9999 12 39 2500 1 13303 10825 2478 11 30000 100 0 0 10 661.705 91.979 ../Q3/./log/doc50cop3shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed666549275.log 36955265 q3-extractinstructions.txt 20150729_213553 0.5 55b2afeb7768392c683f052c
20150729_211948 50 1 3 10 100000 664375964 218 10000 0 6555 10000 218 39 2500 1 13033 10581 2452 218 30000 100 0 0 12 758.224 96.299 ../Q3/./log/doc50cop3shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed664375964.log 42902261 q3-extractinstructions.txt 20150729_213720 0.5 55b2afeb7768392c683f052a
20150729_212442 50 1 3 10 100000 817713633 112 10000 0 6858 10000 112 39 2500 1 13202 11266 1936 112 30000 100 0 0 8 636.189 78.531 ../Q3/./log/doc50cop3shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed817713633.log 31685474 q3-extractinstructions.txt 20150729_213855 0.5 55b2afeb7768392c683f052e
20150729_212955 50 1 3 10 100000 792850679 10 10000 0 7246 10000 10 39 2500 1 14084 12784 1300 10 30000 100 0 0 4 445.901 73.43 ../Q3/./log/doc50cop3shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed792850679.log 21029438 q3-extractinstructions.txt 20150729_213947 0.5 55b2afeb7768392c683f0531
20150729_212721 50 1 3 10 100000 519606501 113 10000 0 6802 10000 113 39 2500 1 13131 11334 1797 113 30000 100 0 0 10 636.775 79.607 ../Q3/./log/doc50cop3shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed519606501.log 31693598 q3-extractinstructions.txt 20150729_214141 0.5 55b2afeb7768392c683f052f
20150729_212817 50 1 3 10 100000 715258232 18 10000 0 6952 10000 18 39 2500 1 13727 11693 2034 18 30000 100 0 0 7 599.443 74.569 ../Q3/./log/doc50cop3shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed715258232.log 29957849 q3-extractinstructions.txt 20150729_214147 0.5 55b2afeb7768392c683f0530
20150729_213146 50 1 4 10 100000 103765041 3 10000 0 8331 10000 3 39 2500 1 18137 17588 549 3 30000 100 0 0 8 631.551 110.682 ../Q3/./log/doc50cop4shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed103765041.log 33464683 q3-extractinstructions.txt 20150729_214610 0.5 55b2afeb7768392c683f0533
20150729_213525 50 1 4 10 100000 141246882 1 10000 0 8376 10000 1 39 2500 1 18465 18158 307 1 30000 100 0 0 8 543.351 125.316 ../Q3/./log/doc50cop4shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed141246882.log 31629518 q3-extractinstructions.txt 20150729_214816 0.5 55b2afeb7768392c683f0534
20150729_213121 50 1 4 10 100000 919028296 0 10000 0 8312 10000 0 39 2500 1 17806 17469 337 0 30000 100 0 0 13 791.637 131.961 ../Q3/./log/doc50cop4shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed919028296.log 46452592 q3-extractinstructions.txt 20150729_215023 0.5 55b2afeb7768392c683f0532
20150729_213809 50 1 4 10 100000 117661523 1 10000 0 8403 10000 1 39 2500 1 18629 18306 323 1 30000 100 0 0 7 516.134 131.088 ../Q3/./log/doc50cop4shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed117661523.log 31586036 q3-extractinstructions.txt 20150729_215036 0.5 55b2afeb7768392c683f0536
20150729_214207 50 1 4 10 100000 420477893 0 10000 0 9933 478 0 39 2500 1 19104 19066 38 0 30000 100 0 0 3 371.427 113.99 ../Q3/./log/doc50cop4shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed420477893.log 20709983 q3-extractinstructions.txt 20150729_215049 0.5 55b2afeb7768392c683f0539
20150729_213956 50 1 4 10 100000 105731136 0 10000 0 8388 10000 0 39 2500 1 18167 18089 78 0 30000 100 0 0 8 533.655 129.746 ../Q3/./log/doc50cop4shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed105731136.log 35378294 q3-extractinstructions.txt 20150729_215305 0.5 55b2afeb7768392c683f0537
20150729_213732 50 1 4 10 100000 681028781 114 10000 0 8272 10000 114 39 2500 1 17886 17665 221 114 30000 100 0 0 13 720.056 142.601 ../Q3/./log/doc50cop4shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed681028781.log 46656670 q3-extractinstructions.txt 20150729_215510 0.5 55b2afeb7768392c683f0535
20150729_214152 50 1 4 10 100000 967561224 0 10000 0 8426 10000 0 39 2500 1 18367 18270 97 0 30000 100 0 0 8 606.018 128.638 ../Q3/./log/doc50cop4shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed967561224.log 35448581 q3-extractinstructions.txt 20150729_215558 0.5 55b2afeb7768392c683f0538
20150729_214223 50 1 4 10 100000 263688301 0 10000 0 8389 10000 0 39 2500 1 18292 18203 89 0 30000 100 0 0 10 682.632 133.958 ../Q3/./log/doc50cop4shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed263688301.log 38427963 q3-extractinstructions.txt 20150729_215757 0.5 55b2afeb7768392c683f053a
20150729_215105 50 1 4 10 100000 597296547 0 10000 0 8451 10000 0 39 2500 1 18638 18597 41 0 30000 100 0 0 5 494.851 95.176 ../Q3/./log/doc50cop4shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed597296547.log 26479301 q3-extractinstructions.txt 20150729_220208 0.5 55b2afeb7768392c683f053e
20150729_215049 50 1 4 10 100000 711283608 1 10000 0 8425 10000 1 39 2500 1 18744 18463 281 1 30000 100 0 0 6 525.821 101.104 ../Q3/./log/doc50cop4shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed711283608.log 28670165 q3-extractinstructions.txt 20150729_220241 0.5 55b2afeb7768392c683f053d
20150729_215519 50 1 4 10 100000 258760793 2 10000 0 8521 10000 2 39 2500 1 18795 18518 277 2 30000 100 0 0 5 476.236 92.743 ../Q3/./log/doc50cop4shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed258760793.log 25689272 q3-extractinstructions.txt 20150729_220614 0.5 55b2afeb7768392c683f0540
20150729_214943 50 1 4 10 100000 533657980 0 10000 0 8435 10000 0 39 2500 1 18550 18451 99 0 30000 100 0 0 9 729.933 115.689 ../Q3/./log/doc50cop4shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed533657980.log 38587783 q3-extractinstructions.txt 20150729_220630 0.5 55b2afeb7768392c683f053c
20150729_214653 50 1 4 10 100000 50746969 0 10000 0 8315 10000 0 39 2500 1 17703 17615 88 0 30000 100 0 0 12 851.439 123.989 ../Q3/./log/doc50cop4shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed50746969.log 47351862 q3-extractinstructions.txt 20150729_220651 0.5 55b2afeb7768392c683f053b
